route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
CALIFORNIA STREET CABLE CAR,5,,,SFMTA,15061,https://SFMTA.com/C,,C
NORIEGA EXPRESS,3,,,SFMTA,15011,https://SFMTA.com/7X,,7X
46TH AVENUE,3,,,SFMTA,15022,https://SFMTA.com/18,,18
BALBOA A EXPRESS,3,,,SFMTA,15036,https://SFMTA.com/31AX,,31AX
OWL THIRD,3,,,SFMTA,15089,https://SFMTA.com/T-OWL,,T-OWL
FILLMORE,3,,,SFMTA,15025,https://SFMTA.com/22,,22
OWL JUDAH,3,,,SFMTA,15084,https://SFMTA.com/N-OWL,,N-OWL
JUDAH,0,,,SFMTA,15083,https://SFMTA.com/N,,N
OWL OCEANVIEW,3,,,SFMTA,15082,https://SFMTA.com/M-OWL,,M-OWL
OCEAN VIEW,0,,,SFMTA,15081,https://SFMTA.com/M,,M
BART SHUTTLE,3,,,SFMTA,15068,https://SFMTA.com/88,,88
FULTON,3,,,SFMTA,15007,https://SFMTA.com/5,,5
JACKSON,3,,,SFMTA,15006,https://SFMTA.com/3,,3
SUTTER/CLEMENT,3,,,SFMTA,15005,https://SFMTA.com/2,,2
CALIFORNIA B EXPRESS,3,,,SFMTA,15004,https://SFMTA.com/1BX,,1BX
CALIFORNIA A EXPRESS,3,,,SFMTA,15003,https://SFMTA.com/1AX,,1AX
QUINTARA-24TH STREET,3,,,SFMTA,15052,https://SFMTA.com/48,,48
BALBOA B EXPRESS,3,,,SFMTA,15037,https://SFMTA.com/31BX,,31BX
VAN NESS-MISSION,3,,,SFMTA,15053,https://SFMTA.com/49,,49
HAIGHT-PARNASSUS,3,,,SFMTA,15009,https://SFMTA.com/6,,6
FULTON RAPID,3,,,SFMTA,15008,https://SFMTA.com/5R,,5R
BRYANT,3,,,SFMTA,15029,https://SFMTA.com/27,,27
TREASURE ISLAND,3,,,SFMTA,15028,https://SFMTA.com/25,,25
CORBETT,3,,,SFMTA,15041,https://SFMTA.com/37,,37
TERESITA,3,,,SFMTA,15040,https://SFMTA.com/36,,36
UNION,3,,,SFMTA,15047,https://SFMTA.com/41,,41
COIT,3,,,SFMTA,15046,https://SFMTA.com/39,,39
GEARY RAPID,3,,,SFMTA,15045,https://SFMTA.com/38R,,38R
QUINTARA,3,,,SFMTA,15062,https://SFMTA.com/66,,66
MISSION EXPRESS,3,,,SFMTA,15021,https://SFMTA.com/14X,,14X
MISSION RAPID,3,,,SFMTA,15020,https://SFMTA.com/14R,,14R
POLK,3,,,SFMTA,15023,https://SFMTA.com/19,,19
MASONIC,3,,,SFMTA,15048,https://SFMTA.com/43,,43
EMBARCADERO,0,,,SFMTA,15209,https://SFMTA.com/E,,E
HAYES,3,,,SFMTA,15024,https://SFMTA.com/21,,21
DIVISADERO,3,,,SFMTA,15027,https://SFMTA.com/24,,24
MONTEREY,3,,,SFMTA,15026,https://SFMTA.com/23,,23
MARINA EXPRESS,3,,,SFMTA,15034,https://SFMTA.com/30X,,30X
RUTLAND,3,,,SFMTA,15057,https://SFMTA.com/56,,56
EXPRESS,3,,,SFMTA,15086,https://SFMTA.com/NX,,NX
BERNAL HEIGHTS,3,,,SFMTA,15063,https://SFMTA.com/67,,67
EUREKA,3,,,SFMTA,15039,https://SFMTA.com/35,,35
GEARY A EXPRESS,3,,,SFMTA,15043,https://SFMTA.com/38AX,,38AX
CALIFORNIA A EXPRESS,3,,,SFMTA,15444,https://SFMTA.com/1AX,,1AX
MARIN HEADLANDS EXPRESS,3,,,SFMTA,15064,https://SFMTA.com/76X,,76X
ASHBURY-18TH ST,3,,,SFMTA,15038,https://SFMTA.com/33,,33
MID-MARKET EXPRESS,3,,,SFMTA,15067,https://SFMTA.com/83X,,83X
FELTON,3,,,SFMTA,15055,https://SFMTA.com/54,,54
BALBOA,3,,,SFMTA,15035,https://SFMTA.com/31,,31
HAIGHT-NORIEGA,3,,,SFMTA,15010,https://SFMTA.com/7,,7
SAN BRUNO OWL,3,,,SFMTA,15069,https://SFMTA.com/90,,90
BAYSHORE,3,,,SFMTA,15012,https://SFMTA.com/8,,8
BAYSHORE A EXPRESS,3,,,SFMTA,15013,https://SFMTA.com/8AX,,8AX
BAYSHORE B EXPRESS,3,,,SFMTA,15014,https://SFMTA.com/8BX,,8BX
SAN BRUNO,3,,,SFMTA,15015,https://SFMTA.com/9,,9
SAN BRUNO RAPID,3,,,SFMTA,15016,https://SFMTA.com/9R,,9R
TOWNSEND,3,,,SFMTA,15017,https://SFMTA.com/10,,10
FOLSOM-PACIFIC,3,,,SFMTA,15018,https://SFMTA.com/12,,12
MISSION,3,,,SFMTA,15019,https://SFMTA.com/14,,14
O'SHAUGHNESSY,3,,,SFMTA,15049,https://SFMTA.com/44,,44
POWELL-HYDE CABLE CAR,5,,,SFMTA,15060,https://SFMTA.com/PH,,PH
OWL INGLESIDE,3,,,SFMTA,15076,https://SFMTA.com/K-OWL,,K-OWL
INGLESIDE-THIRD,0,,,SFMTA,15077,https://SFMTA.com/KT,,KT
